"id","name","created_at","updated_at"
"1","Mimarlık",NULL,NULL
"2","Tarih",NULL,NULL
"3","Diş Hekimliği Fakültesi",NULL,NULL
"4","Arkeoloji",NULL,NULL
"5","Coğrafya",NULL,NULL
"6","Coğrafya (İÖ)",NULL,NULL
"7","Felsefe",NULL,NULL
"8","İngiliz Dili ve Edebiyatı",NULL,NULL
"9","İngiliz Dili ve Edebiyatı (İÖ)",NULL,NULL
"10","Sanat Tarihi",NULL,NULL
"11","Sanat Tarihi (İÖ)",NULL,NULL
"12","Sosyoloji",NULL,NULL
"13","Sosyoloji (İÖ)",NULL,NULL
"14","Tarih (İÖ)",NULL,NULL
"15","Türk Dili ve Edebiyatı",NULL,NULL
"16","Türk Dili ve Edebiyatı (İÖ) ",NULL,NULL
"17","Kimya ",NULL,NULL
"18","Matematik",NULL,NULL
"19","Spor Yöneticiliği ",NULL,NULL
"20","Spor Yöneticiliği (İÖ)",NULL,NULL
"21","İktisat",NULL,NULL
"22","Siyaset Bilimi ve Kamu Yönetimi",NULL,NULL
"23","Siyaset Bilimi ve Kamu Yönetimi (İÖ)",NULL,NULL
"24","Sosyal Hizmet",NULL,NULL
"25","Uluslararası İlişkiler",NULL,NULL
"26","Uluslararası İlişkiler (İÖ) ",NULL,NULL
"27","Uluslararası İlişkiler (%100 İngilizce)",NULL,NULL
"28","İlahiyat",NULL,NULL
"29","İlahiyat (İÖ)",NULL,NULL
"30","Aktüerya Bilimleri",NULL,NULL
"31","Halkla İlişkiler ve Tanıtım",NULL,NULL
"32","Halkla İlişkiler ve Tanıtım (İÖ) ",NULL,NULL
"33","İşletme",NULL,NULL
"34","Bilgisayar Mühendisliği (% 30 İngilizce) ",NULL,NULL
"35","Bilgisayar Mühendisliği (% 30 İngilizce) (İÖ) ",NULL,NULL
"36","Bilgisayar Mühendisliği (%100 İngilizce)",NULL,NULL
"37","Elektrik-Elektronik Mühendisliği (% 30 İngilizce)",NULL,NULL
"38","Elektrik-Elektronik Mühendisliği (% 30 İngilizce) (İÖ)",NULL,NULL
"39","Elektrik-Elektronik Mühendisliği (%100 İngilizce) ",NULL,NULL
"40","Endüstri Mühendisliği",NULL,NULL
"41","Endüstri Mühendisliği (İÖ)",NULL,NULL
"42","İnşaat Mühendisliği",NULL,NULL
"43","Makine Mühendisliği (% 30 İngilizce) ",NULL,NULL
"44","Makine Mühendisliği (%100 İngilizce) ",NULL,NULL
"45","Mekatronik Mühendisliği",NULL,NULL
"46","Metalurji ve Malzeme Mühendisliği (%100 İngilizce) ",NULL,NULL
"47","Otomotiv Mühendisliği (% 30 İngilizce) ",NULL,NULL
"48","Raylı Sistemler Mühendisliği",NULL,NULL
"49","Raylı Sistemler Mühendisliği (%100 İngilizce)",NULL,NULL
"50","Tıp Mühendisliği (% 30 İngilizce)",NULL,NULL
"51","Yazılım Mühendisliği ",NULL,NULL
"52","Orman Mühendisliği",NULL,NULL
"53","Endüstri Ürünleri Tasarımı",NULL,NULL
"54","Gastronomi ve Mutfak Sanatları",NULL,NULL
"55","Turizm İşletmeciliği",NULL,NULL
"56","Turizm Rehberliği",NULL,NULL
"57","Çocuk Gelişimi",NULL,NULL
"58","Ebelik",NULL,NULL
"59","Fizyoterapi ve Rehabilitasyon ",NULL,NULL
"60","Hemşirelik",NULL,NULL
"61","Mekatronik Mühendisliği",NULL,NULL
"62","Tıp Fakültesi",NULL,NULL
"63","Radyo, Televizyon ve Sinema",NULL,NULL
"64","Gazetecilik ",NULL,NULL
"65","Adalet",NULL,NULL
"66","Adalet (İÖ)",NULL,NULL
"67","Aşçılık ",NULL,NULL
"68","Gıda Kalite Kontrolü ve Analizi",NULL,NULL
"69","İş Sağlığı ve Güvenliği ",NULL,NULL
"70","Bilgi Güvenliği Teknolojisi",NULL,NULL
"71","İş Sağlığı ve Güvenliği",NULL,NULL
"72","İş Sağlığı ve Güvenliği (İÖ)",NULL,NULL
"73","İş Sağlığı ve Güvenliği (Uzaktan Öğretim)",NULL,NULL
"74","Özel Güvenlik ve Koruma",NULL,NULL
"75","Özel Güvenlik ve Koruma (İÖ)",NULL,NULL
"76","Raylı Sistemler Elektrik ve Elektronik Teknolojisi",NULL,NULL
